RATING,TITLE,CREDIT,BOXOFFICE,YEAR
88,The Post,Kay Graham,80.4,2018
88,Florence Foster Jenkins,Florence Foster Jenkins,27.4,2016
73,Suffragette,Emmeline Pankhurst,7.2,2015
71,Into the Woods,The Witch,89.8,2014
35,The Giver,Chief Elder,33.5,2014
66,August: Osage County,Violet Weston,29.3,2013
75,Hope Springs,Kay,63.4,2012
64,To the Arctic,Narrator,14.5,2012
51,The Iron Lady,Margaret Thatcher,30,2012
58,It's Complicated,Jane,112.8,2009
92,Fantastic Mr. Fox,Mrs. Fox,21.1,2009
76,Julie & Julia,Julia Child,94.2,2009
80,Doubt,Sister Aloysius Beauvier,33.5,2008
55,Mamma Mia!,Donna,143.8,2008
27,Lions for Lambs,Janine Roth,15,2007
47,Rendition,Corrine Whitman,9.7,2007
27,Evening,Lila Wittenborn,12.5,2007
62,The Ant Bully,Queen Ant,28.2,2006
75,The Devil Wears Prada,Miranda Priestly,124.8,2006
50,Prime,Lisa Metzger,22.8,2005
72,Lemony Snicket's A Series of Unfortunate Events,Aunt Josephine,118.5,2004
80,The Manchurian Candidate,Eleanor Shaw,65.8,2004
61,Stuck on You,Herself,33.9,2003
80,The Hours,Clarissa Vaughan,41.5,2002
91,Adaptation,Susan Orlean,22.2,2002
